source,job_type,month,year,job_id,job_title,salary,location,exp,level,industry,company_name,tools
Jobsgo,Business Analyst,11,2025,1772055,Chuyên Viên Phân Tích Nghiệp Vụ - Business Analyst (Ba) - Làm Việc Từ T2 - T6,10.0,Hồ Chí Minh,1.5,,Kinh Doanh,Công Ty TNHH Công Nghệ Sao Đỏ,
Jobsgo,Business Analyst,11,2025,1772315,Chuyên Viên Phân Tích Nghiệp Vụ - Business Analyst (Ba) - Làm Việc Từ T2 - T6,10.0,Hồ Chí Minh,1.5,,Kinh doanh,JobsGO Recruit,
Jobsgo,Business Analyst,11,2025,1771940,Business Analyst,13.0,Hà Nội,2.0,,Quảng cáo/Marketing/PR,Công ty cổ phần truyền thông Đa Phương Tiện Thủ Đô,"Balsamiq,Jira"
Jobsgo,Business Analyst,11,2025,1759785,Junior Business Analyst,10.5,Hà Nội,0.75,,Kinh doanh,Công Ty Cổ Phần Housenow,Jira
Jobsgo,Business Analyst,11,2025,1765512,"Business Analyst Tiếng Nhật N2 - 50M Gross [Quận 1 , Hcm]",20.0,Hồ Chí Minh,3.5,,Công nghệ thông tin,Công Ty TNHH Một Thành Viên Wacontre,
Jobsgo,Business Analyst,11,2025,1771765,Senior Business Analyst,30.0,Hà Nội,4.0,,Sản xuất phần mềm,Công Ty Cổ Phần Tư Vấn H&L,Mysql
Jobsgo,Business Analyst,11,2025,1784308,Business Analyst,,Hà Nội,3.0,,Công nghệ thông tin,Công ty TNHH Tích hợp hệ thống quản lý quốc tế,
Jobsgo,Business Analyst,11,2025,1784687,Chuyên Viên Phân Tích Nghiệp Vụ - Business Analyst (Ba) - Làm Việc Từ T2 - T6,10.0,Hồ Chí Minh,1.5,,Kinh doanh,JobsGO Recruit,
Jobsgo,Business Analyst,11,2025,1785225,"Business Analyst (N2/Cau Giay, Hanoi) - 27148",32.5,Hà Nội,3.0,,Tư vấn,Công Ty TNHH Reeracoen Việt Nam,
Jobsgo,Business Analyst,11,2025,1759788,Business Analyst (Ba),12.5,Hà Nội,1.0,,Kinh doanh/Sản xuất/Vận hành sản xuất,Công Ty CP Đầu Tư Và Phát Triển Nhựa Gỗ Châu Âu,
Jobsgo,Business Analyst,11,2025,1766027,Thực Tập Sinh Business Analyst,,Hồ Chí Minh,0.0,,Kinh Doanh,Công Ty TNHH Công Nghệ Phần Mềm Nasani,
